s. mon.|begudid|begud’i/d, -in, -id|бигуди|papiljotit|||||||||
s.|belet|bel’et (KTK) ~ bil’et, -an, -ad (IL)|билет|lippu|||||||||
v.|bestoita|bestuota (KTK)|общаться на бесёде; беседовать|seurustella illanistujaisissa; keskustella|||||||||
s.|Biblij|bibl’ij, -an, -ad|Библия|raamattu|||||||||
s.|bies|bies, -an, -ad|бес, чёрт|piru|||||||||
s.|biibal|biibol, biiblon, biibolt|ломоть (хлеба)|viipale|||||||||
s.|binokl’|binokl’|бинокль|kiikai|||||||||
s.|bint|bint, -an, -ad|бинт|side|||||||||
v.|bintuida|bintu/ida, -ib, -i|бинтовать|sitoa (haava)|||||||||
s.|binzin|binz’in, -an, -ad|бензин|bensiini|||||||||
s.|biolog|biolog, -an, -ad|биолог|biologi|||||||||
s.|birb|bir’b, -in, -id|дратва|pikilanka|bir’b mustetaze|дратву делают чёрной|pikilanka mustataan||||||
s.|birboi|birbuu ~ birbuo, -n, -d|верба; Вербное воскресенье|paju; palmusunnuntai|bir'buom pühäpäiv (LMS)|Вербное воскресенье|palmusunnuntai||||||
s.|birž|birž, -an, -ad|биржа|pörssi|||||||||
s.|biskvit|biskvit, -an, -ad|бисквит|sokerikakku; kuivakakku|||||||||
s.|biton|biton, -an, -ad|бидон|tonkk|||||||||
s.|bitv|bitv, -an, -ad|битва|tappelu|||||||||
s.|bl’uod|bl’uod, -an, -ad|блюдо, миска|lautanen (syvä); vati, malja|||||||||
s.|blestind|bl’est’ind,-an, -ad|лоск||||||||||
s.|blücc|bl’ucc|блюдце|aluslautanen|||||||||
s.|bohat|bohat, -an, -ad|богач|rikas mies, pohatta|||||||||
a.|bohat|bohat, -an, -ad|богатый, зажиточный|rikas|||||||||
s.|bohatstv|bohatstv, -an, -ad|богатство|vauraus, rikkaus|||||||||
s.|boju|boju, -n, -d|бой|taistelu|||||||||
s.|boic|boic, -an, -ad|боец|taistelija|||||||||
a.|boikij|boikij,-an, -ad|удалой|reipas|||||||||
adv.|bokaspiä|bokas/piä|сбоку|sivusta|||||||||
s.|bombituz|bombitu/z, -sen, -st|бомбёжка|pommitus|||||||||
s.|bomböšk|bomböšk, -an, -ad (IL)|бомбёжка|pommitus|||||||||
s.|borččuj|borčuj,-an, -ad|борец|painija, kamppailija, taisteilija|||||||||
v.|borčuida|borču/ida, -ib, -i ~ (Pal) borčuuda|бороться|painia, kamppailla, taisteilla|||||||||
v. refl.|borčuidakse|borčui/dakse, -že, -he(ze)|бороться, побороться|kamppailla|ed ehtnu borčuidakse (KTK)|ты не успел побороться|et ehtinyt kamppailla||||||
s. dem.|bošaine|boša/an’e, -ažen, -št|барашек|pieni pässi|||||||||
s.|bošš|bošš, bošin, boššid|баран|pässi|||||||||
v. refl.|breidakse|br’ei/dakse, -že, -he(ze)|бриться, побриться|ajaa partaa|||||||||
v.|briezguida|br’iezgu/ida, -ib, -i|брезговать|inhota, hylkiä, halveksia|||||||||
