s.|čemodan|čemodan, -an, -ad|чемодан|matkalaukku||||||
s.|čerepah|čer’epah|черепаха|||||||
s.|čeresedelnik|čer’es’s’edel’n’ik, -an, -ad|чересседельник|sitolkkahihna|vedada čer’es’s’edel’n’ik (KTK)|подтянуть чересседельник|vetää sitolkkahihna|||
s.|čerešn’|čer’ešn’|черешня|||||||
s.|cerkv|cerkv|церковь|||||||
s.|černilad|čern’ilad|чернила|||||||
s.|černovik|černovik|черновик|||||||
s.|červonc|červonc, -an, -ad|червонец|5 tai 10 kultaruplan raha||||||
s.|česnok|česnok, -an, -ad|чеснок|valkosipuli||||||
s.|čest’|čest’|почёт|||||||
s.|čest’|čest’|слава|||||||
s.|čiep|čiep|цеп|||||||
s.|čiep|čiep|цепь|ketju||||||
s. dem.|čiepiine|čiepi/in’e, -ižen, -št|цепочка|ketju||||||
a. yhd.|čiepišolij|čiepiš/ol’ij|цепной|ketjussa oleva||||||
s.|ciferblat|ciferblat|циферблат|||||||
s.|čigan|čigan ~ cigan|цыган|||||||
s.|čiganan-|čiganan-|цыганский|||||||
s.|čigananarttel’|čiganan/art’el’|табор|||||||
s.|čiganih|čigan’ih|цыганка|||||||
s.|čiganoidenarttel’|čiganuun/art’el’|табор|||||||
v.|čihnida|čihn’ida|чихать|||||||
s.|čiilahaine|čihla/an’e, -ažen, -št|крапива|||||||
v.|čikettada|čike/tada, -tab, -t’ ~ -t’ii|щебетать||l’induin’e čiketab|птичка щебечет||||
s.|cikl|cikl|цикл|||||||
s.|ciklon|ciklon|циклон|||||||
v.|čilkaita|čilkaata|чокать|v.||||||
s.|cink|cink|цинк|||||||
a.|čirč|čirč|привередливый|||||||
a.|čirč|čirč|разборчивый|||||||
s.|čirčetand|čirčetand|щебет|||||||
v.|čirišta|čir’išta|щебетать|||||||
s.|cirk|cirk|цирк|||||||
v.|čirknita|čirkn'ita|чиркнуть|||||||
v.|čirkoita|čirkuuta|чирикать|||||||
s.|čisl|čisl, -an, -ad|число|luku||||||
v.|čistida|čista|чистить|||||||
s.|citat|citat|цитата|||||||
s.|člien|čl'ien, -an, -ad|член|jäsen||||||
s.|čomas|čomas|красиво|||||||
adv.|čomas|čomas|красиво||čomas s’el’ginuze|разодетый, разодевшийся||||
v.|čomendoittada|čomenduu/tta, -tab, -t’ ~ -t’ii|украсить|||||||
s.|čomenduz|čomendu/z, -sen, -st|украшение|||||||
v.|čometa|čometa|украситься|||||||
v.|čometa|čometa|хорошеть|||||||
s.|čomuz|čomu/z, -sen, -st|красота, краса|||||||
s.|čort|čort, -an, -ad|чёрт|piru||||||
s.|čortan-|čortan-|чёртов|pirun-||||||
v.|čotaida|čotaada|считать|||||||
s. yhd.|cuarinakk|cuar’in/akk|царица|||||||
s. yhd.|cuarinpoig|cuar’im- ~ suar’im/poig|царевич|||||||
s. yhd.|cuarintütär|cuar’in- ~ suar’in/t’ütar|царевна|||||||
s.|cuarstv|cuarstv|царица|||||||
s.|čuas|čuas|час|||||||
s.|čuašk|čuašk|чашка|||||||
s.|čuasud|čuasud|часы|||||||
s.|čuasuidenkohendaj|čuasuin/kohendaj|часовщик|||||||
s.|čuasuine|(Pal) čuas/uun’e, -uužen, -ušt|часик|||||||
s.|čučal|čučal|чучело|houkutinlintu||||||
adv.|čukkeloh|čukloho|под воду||mända čukloho|нырнуть||||
v.|čukurta|čukur/ta, -dab|расцеловать|||||||
v.|čukurta|čukurta|целовать|||||||
v. refl.|čukurtakse|čukurtakse|целоваться|||||||
s.|čupun-|čupun-|угловой|||||||
v.|čurčettada|čurče/tada, -tab, -t’ ~ -t’ii|журчать|||||||
s.|čurčetuz|čurčetu/z, -sen, -st|журчание|||||||
s.|čurk|čurk|чурбан|||||||
v.|čustvuida|čustvuida|чувствовать|||||||
s.|čuud|čuud|чудо|ihme||||||
s.|cviet|cviet|цвет|||||||
s.|d’ablon’|d’ablon’|яблоня|omenapuu||||||
s.|d’abluk|d’ablok|яблоко|omena||||||
a.|d’ablukkahine|d’ablokahi/in’e, -ižen, -št|яблочный|omena-||||||
v.|d’agada|d’agada|делить|||||||
v.|d’agada|d’agada|раздавать|||||||
a.|d’agamatoi|d’agamatuu|неделимый|||||||
s.|d’agamine|d’agami/in’e, -ižen, -št|деление|||||||
s.|d’agand|d’agand|делёж|||||||
s.|d’agand|d’agand|раздача|||||||
s.|d’agard|d’agard|пробор|||||||
s.|d’agard|d’agard|пробор|||||||
s.|d’ago|d’ago|разделение|||||||
s.|d’alg|d’aug|нога|||||||
s.|d’alg-|d’aug-|ножной|||||||
s.|d’algaččimed|(Pal) d’augačimad|обувь|||||||
s.|d’algad|d’augad|ноги|||||||
adv.|d’algai|d’augaa|пешком|||||||
s. yhd.|d’alganpohd’|d’augam/pohd’|стопа|||||||
a. yhd.|d’alorusked|d’alo/rusked (KTK)|багровый|tulipunainen|d’alorusked zor’a (KTK)|багровая заря|tulipunainen rusko|||
s.|d’armark|d’armark ~ jarmark|ярмарка|markkinat||||||
s.|d’aššik|d’aššik, -an, -ad|ящик|laatikko||||||
s.|d’ataž|etaž, -an, -ad|этаж|kerros||||||
v.|d’atkada|d’atkta|удлинять|||||||
v.|d’auhoda|d’auhta|молоть|||||||
v.|d’auhoda|d’auhta|перемалывать|||||||
v.|d’auhoda|d’auhta|размалывать|||||||
a.|d’auhoksine|d’auhos’i/in’e, -ižen, -št|мучный|||||||
s.|d’auhond|d’auhond|размол|||||||
s. yhd.|d’auhondkivi|d’auhont/kivi|жернов|||||||
s.|d’ielo|d’ielo|дело|s.||||||
adv.|d’o|d’o|уже|||||||
a.|d’oga|d’oga|каждый||d’oga päivän|каждый день, ежедневно||||
pron.|d’oga|d’oga|каждый||d’oga päivän|каждый день, повседневно||||
a.|d’ogahine|d’ogahi/in’e, -ižen, -št|каждый|||||||
a. yhd.|d’ogakuine|d’oga/kuin’e|ежемесячный|||||||
a. yhd.|d’oganedaliine|d’oga/n’edal’iin’e|еженедельный|||||||
a. yhd.|d’ogapäivälline|d’oga/päiväl’iin’e|каждодневный|||||||
a. yhd.|d’ogavuozine|d’oga/vuoz’iin’e|ежегодный|||||||
s.|d’ogi|d’ogi|река|||||||
s. dem.|d’ogud|d’ogutt|речка|||||||
s.|d’okt’|d’okt’|дёготь|s.||||||
s.|d’orš|jorš|ёрш|||||||
s.|d’uakker’|d’uaker’ ~ jakor’|якорь|ankkuri||||||
s.|d’uam|d’uam|шоссе|maantie, valtatie||||||
s.|d’umalan-|d’umalan-|божий|jumalan-||||||
s.|d’unad|d’unad|дюны|||||||
v.|d’uobuda|d’uobda|угорать|||||||
v.|d’uoda|d’uoda|выпивать|juoda||||||
v.|d’uoda|d’uoda|пить|||||||
v. yhd.|d’uodakse|d’uodakse|напиваться|||||||
v.|d’uoksendelta|d’uoksendel’da|бегать|juosta||||||
s.|d’uokseteluz|d’uoksetel’u/z, -sen, -st|бег|juoksu||||||
a.|d’uomatoi|d’uomatuu|трезвый|||||||
s.|d’uomine|d’uomi/in’e, -ižen, -št|напиток|||||||
s.|d’uomine|d’uomi/in’e, -ižen, -št|пойло|||||||
s.|d’uond|d’uond|питьё|||||||
v.|d’uosta|d’uoksta|пробегать|||||||
s.|d’uotatuz|d’uotatu/z, -sen, -st|жажда|||||||
s.|d’upk|d’upk, -an, -ad|юбка|hame||||||
v.|d’urišta|d’ur’išta|греметь, громыхать|jylistä, jyristä, jyrähdellä|rubeta d’ur’ižmaha|загреметь||||
v.|d’urišta|d’ur’išta|прогреметь|||||||
a.|d’urižij|d’ur’ižij|гремучий|||||||
s.|d’ušk|d’ušk|вьюшка|||||||
a.|d’uurdunu|d’uurdunu|закоренелый|||||||
s.|d’uurud|d’uurut|корешок|||||||
part.|da|da|да|kyllä; ja||||||
s.|dača|dača|дача|v.||||||
s.|dälg|d’äl’g|след|||||||
a.|dälgembaine|d’äl’gemba/an’e, -ažen, -št|крайний|||||||
postp.|dälges|d’äl’ges|за|||||||
adv.|dälges|d’äl’ges|затем|||||||
adv.|dälges|d’äl’ges|после|||||||
adv.|dälges|d’äl’ges|потом|||||||
a.|dälgimaine|d’äl’mään’e|заключительный|||||||
a.|dälgimaine|d'äl'mään'e|конечный|||||||
a.|dälgimaine|d’äl’mään’e|последний|||||||
s.|damk|damk|дамка|s.||||||
s.|dänöi|d’än’uu|заяц|||||||
s.|därv|d’ärv|озеро|||||||
a. yhd.|därventagalline|d’ärven/tagal’iin’e|заозёрный|||||||
s.|dedektif|d’ed’ekt’if|детектив|s.||||||
s.|defekt|d’efekt|дефект|s.||||||
s.|deficit|d’eficit|дефицит|s.||||||
s.|defiz|d’efis|дефис|s.||||||
s.|dekad|d’ekad|декада|s.||||||
s.|dekan|d’ekan|декан|s.||||||
s.|dekret|d’ekr’et|декрет|v.||||||
s.|delegat|d’el’egat|делегат|v.||||||
s.|demokrat|d’emokrat|демократ|s.||||||
s.|demonstrant|d’emonstrant|демонстрант|s.||||||
s.|dengad|d’en’gad|деньги|v.|suada d’en’gad|получать деньги, зарабатывать|saada rahaa, ansaita rahaa|||
a.|dengakaz|d’en’gakaz|денежный|num.||||||
s.|depo|d’epo|депо|v.||||||
s.|depresij|d’epr’es’ij|депрессия|s.||||||
s.|deputat|d’eputat|депутат|v.||||||
s.|derein|d’er’ein’|деревня|adv.||||||
s. yhd.|dereinanagd’|d’er’ein’an/agd’|околица|||||||
s.|derektor|d’er’ektor|директор|v.||||||
s.|desant|d'esant|десант|v.||||||
s.|desert|d’es’s’ert|дессерт|s.||||||
konj.|desli|jesl’i|если|jos|jesl’i ol’iiš kr’oun’ kattud lauduol|если бы крыша была покрыта досками|jos katto olisi katettu laudoilla|||
s.|detal’|d’etal’|деталь|s.||||||
s.|deurij|jevrei|еврей|||||||
s.|devan|devan|диван|s.||||||
s.|deviz|d’eviz|девиз|s.||||||
s.|devizij|d’eviz’ij|дивизия|s.||||||
s.|dezenterij|d’ezent’er’ij|дезинтерия|v.||||||
s.|dezinfekcij|d’ez’infekcij|дезинфекция|s.||||||
v.|dežurida|d’ežur’ida|дежурить|s.||||||
s.|diabet|d’iabet|диабет|s.||||||
s.|diäd’|d’iäd’|дядя|||||||
v.|diädüda|d’iäduda|заледенеть|||||||
